timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1729273781258,150,CreateOrUpdateCsdHierElmVtc,200,,"Creation - Role, Employee and Office 1-24",text,true,,1105,1319,1,1,http://172.16.8.56:8001/api-gateway/api/v1/createOrUpdateCsdHierElmVtc,150,0,75
1729273781056,150,VTC,200,"Number of samples in transaction : 1, number of failing samples : 0","Creation - Role, Employee and Office 1-24",,true,,1105,1319,1,1,null,150,213,75
1729273781779,65,CreateOrUpdateCsdHierElmVtc,200,,"Creation - Role, Employee and Office 1-25",text,true,,1105,1319,1,1,http://172.16.8.56:8001/api-gateway/api/v1/createOrUpdateCsdHierElmVtc,64,0,16
1729273781577,65,VTC,200,"Number of samples in transaction : 1, number of failing samples : 0","Creation - Role, Employee and Office 1-25",,true,,1105,1319,1,1,null,64,210,16
1729273782300,66,CreateOrUpdateCsdHierElmVtc,200,,"Creation - Role, Employee and Office 1-26",text,true,,1105,1319,1,1,http://172.16.8.56:8001/api-gateway/api/v1/createOrUpdateCsdHierElmVtc,66,0,7
1729273782098,66,VTC,200,"Number of samples in transaction : 1, number of failing samples : 0","Creation - Role, Employee and Office 1-26",,true,,1105,1319,1,1,null,66,210,7
1729273782834,81,CreateOrUpdateCsdHierElmVtc,200,,"Creation - Role, Employee and Office 1-27",text,true,,1105,1319,1,1,http://172.16.8.56:8001/api-gateway/api/v1/createOrUpdateCsdHierElmVtc,81,0,32
1729273782632,81,VTC,200,"Number of samples in transaction : 1, number of failing samples : 0","Creation - Role, Employee and Office 1-27",,true,,1105,1319,1,1,null,81,209,32
1729273783373,92,CreateOrUpdateCsdHierElmVtc,200,,"Creation - Role, Employee and Office 1-28",text,true,,1105,1319,1,1,http://172.16.8.56:8001/api-gateway/api/v1/createOrUpdateCsdHierElmVtc,92,0,8
1729273783170,92,VTC,200,"Number of samples in transaction : 1, number of failing samples : 0","Creation - Role, Employee and Office 1-28",,true,,1105,1319,1,1,null,92,210,8
1729273783890,64,CreateOrUpdateCsdHierElmVtc,200,,"Creation - Role, Employee and Office 1-29",text,true,,1105,1319,1,1,http://172.16.8.56:8001/api-gateway/api/v1/createOrUpdateCsdHierElmVtc,64,0,8
1729273783689,64,VTC,200,"Number of samples in transaction : 1, number of failing samples : 0","Creation - Role, Employee and Office 1-29",,true,,1105,1319,1,1,null,64,212,8
1729273784413,181,CreateOrUpdateCsdHierElmVtc,200,,"Creation - Role, Employee and Office 1-30",text,true,,1105,1319,1,1,http://172.16.8.56:8001/api-gateway/api/v1/createOrUpdateCsdHierElmVtc,181,0,90
1729273784211,181,VTC,200,"Number of samples in transaction : 1, number of failing samples : 0","Creation - Role, Employee and Office 1-30",,true,,1105,1319,1,1,null,181,209,90
1729273784931,65,CreateOrUpdateCsdHierElmVtc,200,,"Creation - Role, Employee and Office 1-31",text,true,,1105,1319,1,1,http://172.16.8.56:8001/api-gateway/api/v1/createOrUpdateCsdHierElmVtc,65,0,6
1729273784729,65,VTC,200,"Number of samples in transaction : 1, number of failing samples : 0","Creation - Role, Employee and Office 1-31",,true,,1105,1319,1,1,null,65,211,6
1729273785453,154,CreateOrUpdateCsdHierElmVtc,200,,"Creation - Role, Employee and Office 1-32",text,true,,1105,1319,1,1,http://172.16.8.56:8001/api-gateway/api/v1/createOrUpdateCsdHierElmVtc,153,0,74
1729273785250,154,VTC,200,"Number of samples in transaction : 1, number of failing samples : 0","Creation - Role, Employee and Office 1-32",,true,,1105,1319,1,1,null,153,211,74
