country_code,country_language,country,state,state_code,district,district_code,sub_district,sub_district_code,village_name,village_code,census_code,region,language,pincode,risk_category
IN,Hindi,India,RAJASTHAN,08,BARMER,115,SHEO,0577,CHIBRA MAGRA,086884,081150577086884,North,Rajasthani,344701,A
IN,Hindi,India,RAJASTHAN,08,BANSWARA,125,BAGIDORA,0653,LALAWARA,099432,081250653099432,North,Rajasthani,327606,A
IN,Hindi,India,RAJASTHAN,08,NAGAUR,112,KHEENVSAR,0561,LALAWAS,083068,081120561083068,North,Rajasthani,341025,A
IN,Hindi,India,RAJASTHAN,08,CHITTORGARH,126,RASHMI,0655,GUDALIYA,099974,081260655099974,North,Rajasthani,312206,A
IN,Hindi,India,RAJASTHAN,08,BHARATPUR,105,NADBAI,0509,GUDAWALI,074472,081050509074472,North,Rajasthani,321642,A
IN,Hindi,India,RAJASTHAN,08,NAGAUR,112,KHEENVSAR,0561,GUDHA BHAGWAN DAS,083043,081120561083043,North,Rajasthani,341001,A
IN,Hindi,India,RAJASTHAN,08,NAGAUR,112,MAKRANA,0565,GUDLESAR,083723,081120565083723,North,Rajasthani,341504,A
IN,Hindi,India,RAJASTHAN,08,RAJSAMAND,123,NATHDWARA,0645,GUDLI,097428,081230645097428,North,Rajasthani,313202,A
IN,Hindi,India,RAJASTHAN,08,NAGAUR,112,NAWA,0566,GUGARWAR,083845,081120566083845,North,Rajasthani,341519,A
IN,Hindi,India,RAJASTHAN,08,PALI,118,BALI,0605,KAGRI,091285,081180605091285,North,Rajasthani,306116,A
IN,Hindi,India,RAJASTHAN,08,BHILWARA,122,SHAHPURA,0629,KAGSON KA KHERA,095008,081220629095008,North,Rajasthani,311404,A
IN,Hindi,India,RAJASTHAN,08,CHITTORGARH,126,BARI SADRI,0664,KAHARA CHAK,101629,081260664101629,North,Rajasthani,312403,A
IN,Hindi,India,RAJASTHAN,08,DHOLPUR,106,SEPAU,0517,KAIMARA,075842,081060517075842,North,Rajasthani,328027,A
IN,Hindi,India,RAJASTHAN,08,DUNGARPUR,124,DUNGARPUR,0646,GHATAU,097605,081240646097605,North,Rajasthani,314404,A
IN,Hindi,India,RAJASTHAN,08,BANSWARA,125,KUSHALGARH,0654,GHATIYA,099547,081250654099547,North,Rajasthani,327022,A
IN,Hindi,India,RAJASTHAN,08,BHARATPUR,105,PAHARI,0505,GHATMEEKA,073843,081050505073843,North,Rajasthani,321204,A
IN,Hindi,India,RAJASTHAN,08,PALI,118,DESURI,0603,GHENRI,091119,081180603091119,North,Rajasthani,306502,A
IN,Hindi,India,RAJASTHAN,08,BHILWARA,122,MANDALGARH,0637,FATEHPURA,096244,081220637096244,North,Rajasthani,311606,A
IN,Hindi,India,RAJASTHAN,08,DUNGARPUR,124,SIMALWARA,0649,FATEHPURA,098388,081240649098388,North,Rajasthani,314403,A
IN,Hindi,India,RAJASTHAN,08,CHITTORGARH,126,RASHMI,0655,HAMERPURA,099990,081260655099990,North,Rajasthani,312206,A
IN,Hindi,India,RAJASTHAN,08,CHITTORGARH,126,GANGRAR,0656,HAMERPURA,100085,081260656100085,North,Rajasthani,312901,A
IN,Hindi,India,RAJASTHAN,08,BARMER,115,RAMSAR,0583,KANTALIYA KA PAR,088476,081150583088476,North,Rajasthani,344502,A
IN,Hindi,India,RAJASTHAN,08,JHALAWAR,129,KHANPUR,0678,KANWALDA,103904,081290678103904,North,Rajasthani,326035,A
IN,Hindi,India,RAJASTHAN,08,BHARATPUR,105,KAMAN,0506,KANWARA,074064,081050506074064,North,Rajasthani,321022,A
IN,Hindi,India,RAJASTHAN,08,JAIPUR,110,CHAKSU,0550,KANWARPURA,081133,081100550081133,North,Rajasthani,303908,A
IN,Hindi,India,RAJASTHAN,08,SIKAR,111,DANTA RAMGARH,0554,KANWARPURA,081708,081110554081708,North,Rajasthani,332023,A
IN,Hindi,India,RAJASTHAN,08,PRATAPGARH,131,DHARIAWAD,0696,KAPARWAS,107970,081310696107970,North,Rajasthani,312626,A
IN,Hindi,India,RAJASTHAN,08,DUNGARPUR,124,DUNGARPUR,0646,KAPARWEL,097662,081240646097662,North,Rajasthani,314001,A
IN,Hindi,India,RAJASTHAN,08,BHILWARA,122,KOTRI,0635,HATHIPURA,095825,081220635095825,North,Rajasthani,311603,A
IN,Hindi,India,RAJASTHAN,08,KOTA,127,PIPALDA,0665,HATHOLI,101738,081270665101738,North,Rajasthani,325009,A
IN,Hindi,India,RAJASTHAN,08,PRATAPGARH,131,PRATAPGARH,0699,HATUNIYA,108601,081310699108601,North,Rajasthani,312605,A
IN,Hindi,India,RAJASTHAN,08,ALWAR,104,RAJGARH,0502,AMALA,073460,081040502073460,North,Rajasthani,301409,A
IN,Hindi,India,RAJASTHAN,08,JHALAWAR,129,JHALRAPATAN,0679,FOZAL PURA,104020,081290679104020,North,Rajasthani,326001,A
IN,Hindi,India,RAJASTHAN,08,PALI,118,PALI,0601,GULABPURA,090844,081180601090844,North,Rajasthani,306401,A
IN,Hindi,India,RAJASTHAN,08,NAGAUR,112,PARBATSAR,0564,GULAR,083539,081120564083539,North,Rajasthani,341501,A
IN,Hindi,India,RAJASTHAN,08,AJMER,119,KEKRI,0614,GULGAON,092454,081190614092454,North,Rajasthani,305407,A
IN,Hindi,India,RAJASTHAN,08,CHURU,102,RAJGARH,0482,INDASAR,070110,081020482070110,North,Rajasthani,331023,A
IN,Hindi,India,RAJASTHAN,08,BIKANER,101,SRIDUNGARGARH,0480,INDPALSAR GUSAINSAR,069918,081010480069918,North,Rajasthani,331803,A
IN,Hindi,India,RAJASTHAN,08,JODHPUR,113,PHALODI,0567,INDRA NAGAR,084429,081130567084429,North,Rajasthani,342309,A
IN,Hindi,India,RAJASTHAN,08,CHURU,102,TARANAGAR,0481,ABHAIPURA,070054,081020481070054,North,Rajasthani,331023,A
IN,Hindi,India,RAJASTHAN,08,DAUSA,109,SIKRAI,0535,ITKA,078330,081090535078330,North,Rajasthani,303326,A
IN,Hindi,India,RAJASTHAN,08,BARMER,115,RAMSAR,0583,JADAM KA PAR,088617,081150583088617,North,Rajasthani,344502,A
IN,Hindi,India,RAJASTHAN,08,DUNGARPUR,124,SIMALWARA,0649,JAFRA,098262,081240649098262,North,Rajasthani,314403,A
IN,Hindi,India,RAJASTHAN,08,DAUSA,109,LALSOT,0537,LAKHANPUR,078867,081090537078867,North,Rajasthani,303503,A
IN,Hindi,India,RAJASTHAN,08,BARMER,115,GUDHA MALANI,0581,LAKHARI NADI,087977,081150581087977,North,Rajasthani,344704,A
IN,Hindi,India,RAJASTHAN,08,HANUMANGARH,100,NOHAR,0471,LAKHASAR,068757,081000471068757,North,Rajasthani,335523,A
IN,Hindi,India,RAJASTHAN,08,JAIPUR,110,SHAHPURA,0540,LAKHNI,079323,081100540079323,North,Rajasthani,303103,A
IN,Hindi,India,RAJASTHAN,08,KARAULI,107,KARAULI,0523,LAKHNIPUR,076691,081070523076691,North,Rajasthani,322242,A
IN,Hindi,India,RAJASTHAN,08,BARMER,115,CHOHTAN,0584,LAKRASAR,089015,081150584089015,North,Rajasthani,344706,A
IN,Hindi,India,RAJASTHAN,08,JHUJHUNU,103,JHUNJHUNUN,0487,GOVINDPURA,070890,081030487070890,North,Rajasthani,331025,A
IN,Hindi,India,RAJASTHAN,08,RAJSAMAND,123,AMET,0641,GOWAL,096677,081230641096677,North,Rajasthani,313332,A
IN,Hindi,India,RAJASTHAN,08,JALOR,116,RANIWARA,0591,AMARAPURA,089862,081160591089862,North,Rajasthani,343048,A
IN,Hindi,India,RAJASTHAN,08,JAIPUR,110,BASSI,0549,GUDHA PHALYAWAS,080737,081100549080737,North,Rajasthani,303012,A
IN,Hindi,India,RAJASTHAN,08,BHILWARA,122,HURDA,0628,GARWAR,094770,081220628094770,North,Rajasthani,311204,A
IN,Hindi,India,RAJASTHAN,08,BHILWARA,122,SAHARA,0633,GATHEELA,095512,081220633095512,North,Rajasthani,311802,A
IN,Hindi,India,RAJASTHAN,08,JHUJHUNU,103,CHIRAWA,0488,GOWLA,071293,081030488071293,North,Rajasthani,333028,A
IN,Hindi,India,RAJASTHAN,08,BARAN,128,ANTAH,0671,AASANNAKTI,102704,081280671102704,North,Rajasthani,325202,A
IN,Hindi,India,RAJASTHAN,08,AJMER,119,BHINAY,0612,GHANA,092235,081190612092235,North,Rajasthani,305622,A
IN,Hindi,India,RAJASTHAN,08,CHURU,102,RAJGARH,0482,GHANAU,070102,081020482070102,North,Rajasthani,331023,A
IN,Hindi,India,RAJASTHAN,08,PALI,118,SOJAT,0599,GUDA CHATURA,090707,081180599090707,North,Rajasthani,306103,A
IN,Hindi,India,RAJASTHAN,08,CHITTORGARH,126,NIMBAHERA,0663,GUDA KHERA,101463,081260663101463,North,Rajasthani,312601,A
IN,Hindi,India,RAJASTHAN,08,BHILWARA,122,MANDALGARH,0637,GUDHA,096128,081220637096128,North,Rajasthani,311606,A
IN,Hindi,India,RAJASTHAN,08,BARMER,115,BARMER,0582,GUDISAR,088232,081150582088232,North,Rajasthani,344011,A
IN,Hindi,India,RAJASTHAN,08,TONK,120,PEEPLU,0616,ABBAS NAGAR CHAK NO.3,092697,081200616092697,North,Rajasthani,304801,A
IN,Hindi,India,RAJASTHAN,08,BHILWARA,122,BANERA,0630,LAKSHMIPURA,095104,081220630095104,North,Rajasthani,311011,A
IN,Hindi,India,RAJASTHAN,08,CHURU,102,RATANGARH,0485,KANGAR,070584,081020485070584,North,Rajasthani,331504,A
IN,Hindi,India,RAJASTHAN,08,PALI,118,DESURI,0603,ALSIPURA,091200,081180603091200,North,Rajasthani,306702,A
IN,Hindi,India,RAJASTHAN,08,ALWAR,104,BEHROR,0493,KANKAR,071810,081040493071810,North,Rajasthani,301705,A
IN,Hindi,India,RAJASTHAN,08,GANGANAGAR,099,SURATGARH,0465,GUSAINSAR,067109,080990465067109,North,Rajasthani,335805,A
